Code,Description
15% TRANS,15% Discount on Transportation services
IRD10,10% Discount on Food in IRD
SP30,30% discount on SPA
20% ALA,20% Discount on Al-a-carte in all outlets.
40% 24@43,40% discount on Food & Soft Beverages at 24@43
8L,8 pcs laundry per day
15%,15% discount on food & soft beverages in 24@43
OFPICKUP,Office Pickup Inclusive 
OFDROP,Office Drop Inclusive
10%,10% Discount on food & soft beverages in 24@43
book1001,booking offer new year celebrations
A03,up to 30% discount on Airport pick up and Drop
A10,10% discount on Airport transfers
A20,20% discount on Airport transfers
AP,Airport Pickup complimentary
1A,One way airport transfers
OF,Office Transfers inclusive
OS,2 way shared Office & Airport transfers
AD,Airport drop inclusive in rate
AT,Airport transfer inclusive in rate
T30,30% discount on Transportation
A20,20% discount on Airport transfers
TD20,20% discount on Travel Desk
VP,10% discount on Airport & Office transfers
T10,10% discount on Travel Desk usage
OT,15% discount for Office Transfers
TR,10% discount on Airport & Office transfers
O10,10% discount on Office Transfers
A10,10% discount on Airport transfers
C1,"WiFi, 3 pcs laundry, Club Lounge Late C/O till 16:00 hrs"
CL,Club Lounge access
SA,25% discount on SPA
SP,20% discount on SPA
5AT,15% discount on Airport transfers
SS,15% discount on SPA
ST,"10% discount on SPA, Salon & Telephone calls"
SL,"15% discount on SPA, Salon & Telephone calls"
S1,10% discount on SPA
S5,15% discount on SPA
6L,6 pcs laundry complimentary per day
HL,50% discount on Laundry
40L,40% discount on Laundry
5L,5 pcs laundry per complimentary per day
4L,4 pcs laundry per complimentary per day
3L,3 pcs laundry complimentary per day
30L,30% discount on Laundry excluding dry cleaning
L30,30% discount on Laundry
20L,20% discount on Laundry excluding dry cleaning
L25,25% discount on Laundry
L20,20% discount on Laundry excluding dry cleaning
2L,2 pieces laundry complimentary per day
TL,15% discount on Telephone calls
L5,15% discount on Laundry
L10,10% discount on Laundry
1L,1 piece laundry complimentary per day
40,Velankani staff discount on F&B
BF,Breakfast Complimentary
50F,50% discount on Food & non-alcoholic beverages in all outlets
VK,40% discount > Velankani on F&B soft beverages & IRD
30,30% discount on F&B in all F&B outlets
IR,20% discount on IRD
CS,25% discount on F&B outlets except IRD & Promo Buffet
HS,20% discount on food & soft beverages in all outlets
25,25% discount on F&B
FT,10% discount on food only in coffee shop
15R,15% discount on Food only in all outlets
LL,15% discount on Food & soft beverages & IRD
FB,10% discount on all food & soft beverages
F5,15% discount on food & non-alcoholic beverages at all outlets
F15,15% discount on food & soft beverages in coffee shop except IRD
15,15% discount on food & soft beverages in coffee shop
F10,10% discount on food & non-alcoholic beverages at all outlets
10,10% discount on Aloro and 24@43 DINNER only
A10,10% discount on Airport transfers
A20,20% discount on Airport transfers
AP,Airport Pickup complimentary
1A,One way airport transfers
OF,Office Transfers inclusive
OS,2 way shared Office & Airport transfers
AD,Airport drop inclusive in rate
AT,Airport transfer inclusive in rate
T30,30% discount on Transportation
A20,20% discount on Airport transfers
TD20,20% discount on Travel Desk
VP,10% discount on Airport & Office transfers
T10,10% discount on Travel Desk usage
OT,15% discount for Office Transfers
TR,10% discount on Airport & Office transfers
O10,10% discount on Office Transfers
A10,10% discount on Airport transfers
C1,"WiFi, 3 pcs laundry, Club Lounge Late C/O till 16:00 hrs"
CL,Club Lounge access
SA,25% discount on SPA
SP,20% discount on SPA
5AT,15% discount on Airport transfers
SS,15% discount on SPA
ST,"10% discount on SPA, Salon & Telephone calls"
SL,"15% discount on SPA, Salon & Telephone calls"
S1,10% discount on SPA
S5,15% discount on SPA
6L,6 pcs laundry complimentary per day
HL,50% discount on Laundry
40L,40% discount on Laundry
5L,5 pcs laundry per complimentary per day
4L,4 pcs laundry per complimentary per day
3L,3 pcs laundry complimentary per day
30L,30% discount on Laundry excluding dry cleaning
L30,30% discount on Laundry
20L,20% discount on Laundry excluding dry cleaning
L25,25% discount on Laundry
L20,20% discount on Laundry excluding dry cleaning
2L,2 pieces laundry complimentary per day
TL,15% discount on Telephone calls
L5,15% discount on Laundry
L10,10% discount on Laundry
1L,1 piece laundry complimentary per day
40,Velankani staff discount on F&B
BF,Breakfast Complimentary
50F,50% discount on Food & non-alcoholic beverages in all outlets
30,30% discount on F&B in all F&B outlets
IR,20% discount on IRD
CS,25% discount on F&B outlets except IRD & Promo Buffet
HS,20% discount on food & soft beverages in all outlets
25,25% discount on F&B
FT,10% discount on food only in coffee shop
15R,15% discount on Food only in all outlets
LL,15% discount on Food & soft beverages & IRD
FB,10% discount on all food & soft beverages
F5,15% discount on food & non-alcoholic beverages at all outlets
F15,15% discount on food & soft beverages in coffee shop except IRD
15,15% discount on food & soft beverages in coffee shop
F10,10% discount on food & non-alcoholic beverages at all outlets
10,10% discount on Aloro and 24@43 DINNER only
