Floor,Room Number,Room Status,Room Type,FO Status,Reservation Status,ID,Added Time,Added User,Modified Time,Modified User
16,1670,Inspected,PM,Vacant,Not Reserved,"78063000011895603",22-Dec-2022 19:21:18,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1669,Inspected,PM,Vacant,Not Reserved,"78063000002268170",01-Sep-2021 21:05:53,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1668,Inspected,PM,Vacant,Not Reserved,"78063000002268166",01-Sep-2021 21:05:53,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1667,Inspected,PM,Vacant,Not Reserved,"78063000002268162",01-Sep-2021 21:05:53,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1666,Inspected,PM,Vacant,Not Reserved,"78063000002268158",01-Sep-2021 21:05:53,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1665,Inspected,PM,Vacant,Not Reserved,"78063000002266273",01-Sep-2021 20:55:48,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1664,Inspected,PM,Vacant,Not Reserved,"78063000002266269",01-Sep-2021 20:55:48,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1663,Inspected,PM,Vacant,Not Reserved,"78063000002266265",01-Sep-2021 20:55:48,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1662,Inspected,PM,Vacant,Not Reserved,"78063000002266261",01-Sep-2021 20:55:48,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1661,Inspected,PM,Vacant,Not Reserved,"78063000002266257",01-Sep-2021 20:55:48,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1660,Inspected,PM,Vacant,Not Reserved,"78063000002266253",01-Sep-2021 20:55:48,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
16,1659,Inspected,PM,Occupied,Stay Over,"78063000002266249",01-Sep-2021 20:55:48,msd_velankanigroup,09-Jan-2023 11:24:21,msd_velankanigroup
