Source Group,Description,Status,Source Code,ID
SALES,ASHISH,Active,ASHISH,"78063000011431107"
SALES,Mandeep,Active,Mandeep,"78063000010932832"
EXTERNAL,HYPERGUEST,Active,HYPERGUEST,"78063000008280821"
SALES,Geo M Francis,Active,GEO,"78063000006071502"
SALES,Saimi Saha,Active,SAIMI,"78063000004132833"
SALES,Reservation Office,Active,RESERVATIONS,"78063000004132829"
EXTERNAL,SYNXIS,Active,SYNXIS,"78063000002476105"
EXTERNAL,BOOKING.COM,Active,BOOKING.COM,"78063000002265079"
EXTERNAL,GO-MMT,Active,GO-MMT,"78063000002265008"
SALES,TINU,Active,TINU,"78063000002234624"
INTERNAL,For PM dummy source,In Active,ZZZZ,"78063000002113027"
INTERNAL,DAYUSE,Active,DAYUSE,"78063000001762985"
INTERNAL,COMPLIMENTARY,Active,COMP,"78063000001762981"
EXTERNAL,Agoda.com,Active,Agoda,"78063000001597636"
EXTERNAL,Happyeasygo.com,Active,HAPPYEASYGO,"78063000001597632"
SALES,Srikant,Active,SHRIKANT,"78063000001221206"
SALES,Deepanita,Active,DEEPA,"78063000001221202"
SALES,Bharti,Active,BHARTI,"78063000001221198"
EXTERNAL,HOTELBEDS,Active,HOTELBEDS,"78063000001221194"
EXTERNAL,CLEARTRIP,Active,CLEARTRIP,"78063000001221190"
RETAIL,FIT,Active,FIT,"78063000001221186"
EXTERNAL,HRS,Active,HRS,"78063000001221182"
SALES,CATERING SALES,Active,CATERING,"78063000001221178"
INTERNAL,HOUSE-USE,Active,HOUSE-USE,"78063000001221174"
RETAIL,WALK-IN,Active,WALK-IN,"78063000001221170"
EXTERNAL,AMADEUS,Active,AMADEUS,"78063000001221166"
EXTERNAL,WORLDSPAN,Active,WORLDSPAN,"78063000001221158"
EXTERNAL,HOTELWEBSITE,Active,WEB,"78063000001221154"
EXTERNAL,SABRE,Active,SABRE,"78063000001221150"
EXTERNAL,EXPEDIA,Active,EXPEDIA,"78063000001221146"
EXTERNAL,GALLILEO,Active,GALLILEO,"78063000001221142"
PROMO,WEEKEND PACKAGE,Active,WEEKEND,"78063000001221138"
INTERNAL,BEST AVAILABLE RATES,Active,BAR,"78063000001221134"
EXTERNAL,MAKE MY TRIP,Active,MMT,"78063000001221130"
EXTERNAL,GOIBIBO,Active,GOIBIBO,"78063000001221126"
INTERNAL,InternalHotelBooking,Active,IN,"78063000001221122"
INTERNAL,Guest Direct,Active,GD,"78063000001221118"
