"Transaction Code ",Description,Group,Sub Group,Rate,Tax Percentage,Commission Percent,Discount Allowed,Revoke Group,ID,Cost Center Type,Cost Center Zoho,Added Time,Added User
81133,Revoke - Travel Desk Tips,Revoke,Travel Desk,,0.00,,false,Tips,78063000012297489,MOD,Tips,10-Jan-2023 16:17:55,msd_velankanigroup
1133,Travel Desk Tips,Tips,Travel Desk,,0.00,,false,,78063000012297485,MOD,Tips,10-Jan-2023 16:15:28,msd_velankanigroup
82716,Revoke – Refreshment Centre Others,Revoke,Minibar,,18.00,,false,Others,78063000008873221,F&B,Minibar,08-Sep-2022 10:45:02,msd_velankanigroup
82715,Revoke – Refreshment Centre Smokes,Revoke,Minibar,,28.00,,false,Smokes,78063000008873217,F&B,Minibar,08-Sep-2022 10:45:02,msd_velankanigroup
82714,Revoke – Refreshment Centre Liquor,Revoke,Minibar,,0.00,,false,Liquor,78063000008873213,F&B,Minibar,08-Sep-2022 10:45:02,msd_velankanigroup
82713,Revoke – Refreshment Centre Food,Revoke,Minibar,,18.00,,false,Food,78063000008873209,F&B,Minibar,08-Sep-2022 10:45:02,msd_velankanigroup
2716,Refreshment Centre Others,Others,Minibar,,18.00,,false,,78063000008468780,F&B,Minibar,22-Aug-2022 15:15:54,msd_velankanigroup
2715,Refreshment Centre Smokes,Smokes,Minibar,,28.00,,false,,78063000008468776,F&B,Minibar,22-Aug-2022 15:14:58,msd_velankanigroup
2714,Refreshment Centre Liquor,Liquor,Minibar,,0.00,,false,,78063000008468772,F&B,Minibar,22-Aug-2022 15:13:53,msd_velankanigroup
2713,Refreshment Centre Food,Food,Minibar,,18.00,,true,,78063000008468768,F&B,Minibar,22-Aug-2022 15:12:24,msd_velankanigroup
9033,Master Credit Cards,Payment,Payment,,18.00,0.00,false,,78063000008463723,,,22-Aug-2022 01:05:40,msd_velankanigroup
9032,Visa Credit Cards,Payment,Payment,,18.00,0.00,false,,78063000008463719,,,22-Aug-2022 01:05:40,msd_velankanigroup
9031,Master Debit Cards,Payment,Payment,,,,false,,78063000008463715,,,22-Aug-2022 01:05:40,msd_velankanigroup
9030,Visa Debit Cards,Payment,Payment,,18.00,0.00,false,,78063000008463711,,,22-Aug-2022 01:05:40,msd_velankanigroup
1190,Credit Card Convenience fee,Commission,Credit Card Commission,0.00,18.00,,false,,78063000008463707,,,22-Aug-2022 01:05:40,msd_velankanigroup
82050,Revoke - Service Charge Aloro,Revoke,Alloro,,18.00,,false,Service Charge,78063000004933606,,Service Charge,25-Mar-2022 21:57:58,msd_velankanigroup
2050,Service Charge Aloro,Service Charge,Alloro,18.00,,,false,,78063000004933548,,Service Charge,25-Mar-2022 20:57:43,msd_velankanigroup
85050,Revoke - Service Charge,Revoke,Service Charge,,18.00,,false,Service Charge,78063000004925927,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
84450,Revoke - Service Charge TD,Revoke,Travel Desk,,18.00,,false,Service Charge,78063000004925923,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
84350,Revoke - Service Charge Laundry,Revoke,Laundry,,18.00,,false,Service Charge,78063000004925919,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
83650,Revoke - Service Charge East,Revoke,East,,18.00,,false,Service Charge,78063000004925915,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
83550,Revoke - Service Charge Banquet,Revoke,Banquet,,18.00,,false,Service Charge,78063000004925911,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
83450,Revoke - Service Charge SPA,Revoke,SPA,,18.00,,false,Service Charge,78063000004925907,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
82750,Revoke - Service Charge Minibar,Revoke,Minibar,,18.00,,false,Service Charge,78063000004925903,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
82650,Revoke - Service Charge Terminus,Revoke,Terminus,,18.00,,false,Service Charge,78063000004925899,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
82350,Revoke - Service Charge IRD,Revoke,IN ROOM DINING,,18.00,,false,Service Charge,78063000004925895,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
82150,Revoke - Service Charge 24@43,Revoke,24@43,,18.00,,false,Service Charge,78063000004925891,,Service Charge,25-Mar-2022 20:39:30,msd_velankanigroup
